Date,AAPL,GOOG,MSFT,SPY,TSLA
2020-07-21,94.18380737304688,77.46056365966797,199.67214965820312,302.6226806640625,104.55733489990234
2020-07-22,94.44841003417969,77.9610824584961,202.54165649414062,304.3452453613281,106.15533447265625
2020-07-23,90.14945220947266,75.336181640625,193.732177734375,300.7138366699219,100.87133026123047
2020-07-24,89.92611694335938,75.14682006835938,192.54611206054688,298.7772216796875,94.46666717529297
2020-07-27,92.05738830566406,76.05789947509766,194.98526000976562,300.9560546875,102.63999938964844
2020-07-28,90.54510498046875,74.57372283935547,193.23477172851562,299.0472717285156,98.43267059326172
2020-07-29,92.28073120117188,75.65131378173828,195.1860809326172,302.7251281738281,99.94066619873047
2020-07-30,93.39732360839844,76.12003326416016,195.03302001953125,301.64495849609375,99.16600036621094
2020-07-31,103.1749496459961,73.70985412597656,196.09475708007812,304.02862548828125,95.38400268554688
2020-08-03,105.77473449707031,73.28687286376953,207.12335205078125,306.1423645019531,99.0
2020-08-04,106.48109436035156,72.81566619873047,204.01470947265625,307.3248291015625,99.13333129882812
2020-08-05,106.86707305908203,73.2451171875,203.67994689941406,309.2336730957031,99.00133514404297
2020-08-06,110.5955810546875,74.56178283691406,206.941650390625,311.30072021484375,99.30533599853516
2020-08-07,108.08110046386719,74.28295135498047,203.2399139404297,311.524169921875,96.84733581542969
2020-08-10,109.65204620361328,74.36296844482422,199.19387817382812,312.455322265625,94.57133483886719
2020-08-11,106.39102172851562,73.57864379882812,194.53562927246094,309.8761291503906,91.6259994506836
2020-08-12,109.92684936523438,74.88587188720703,200.09300231933594,314.196533203125,103.65066528320312
2020-08-13,111.87226867675781,75.473876953125,199.62429809570312,313.62847900390625,108.06666564941406
2020-08-14,111.77259063720703,74.94103240966797,199.81561279296875,313.6378479003906,110.04733276367188
2020-08-17,111.48075103759766,75.45050811767578,201.1356201171875,314.6341552734375,122.3759994506836
2020-08-18,112.40971374511719,77.4695053100586,202.29296875,315.3138732910156,125.80599975585938
2020-08-19,112.55074310302734,76.91927337646484,201.065673828125,314.0010070800781,125.23533630371094
2020-08-20,115.04817962646484,78.62017059326172,205.74478149414062,314.9786071777344,133.45533752441406
